Cartridge Lot Number,SARS-CoV-2 Standard Curve ID,Flu A 1 Standard Curve ID,Flu A 2 Standard Curve ID,Flu B Standard Curve ID,RSV Standard Curve ID
5006,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
5533,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
5608,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
5611,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
5615,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
5616,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
5619,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
5620,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
5621,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
5622,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
5625,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
5626,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
5627,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
5630,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6305,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6308,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6313,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6314,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6316,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6318,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6319,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6325,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6602,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6606,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6607,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6608,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6609,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6610,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6611,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
6708,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
7026,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
13816,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
14018,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
14019,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
14714,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
14903,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
20201,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
20204,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
20205,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
20206,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
22920,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
27720,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
42514,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
43109,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
43302,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
48116,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
49801,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
49312,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
60622,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
62905,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
